# DELS~J020611.20-025537.8    02:06:11.20 -02:55:37.8     6.00        -25.82
# DELS~J162911.29+240739.6    16:29:11.29 +24:07:39.6     6.476       -26.32
# VDES_J0224-4711         02:24:26.54     -47:11:29.4     6.526       -26.98
         Ref  Ref-Num                              Ref-Name        QSO-Name              IAU-Name            RA           Dec  Redshift  M_1450
  Banados+16      184                 PSO~J267.0021+22.7812  QSO_J1748+2246  J174800.51+224652.36   17:48:00.51   22:46:52.36      5.95   -25.7
  Banados+16      185                 PSO~J293.0317+71.6523  QSO_J1932+7139  J193207.62+713908.41   19:32:07.62   71:39:08.41      6.08  -26.92
  Banados+16      186                PSO~J308.0416--21.2339  QSO_J2032-2114  J203209.99-211402.31   20:32:09.99  -21:14:02.31    6.2341  -26.35
  Banados+16      187                PSO~J308.4829--27.6485  QSO_J2033-2738  J203355.91-273854.60   20:33:55.91  -27:38:54.60       5.8  -26.78
  Banados+16      188                       SDSS~J2053+0047  QSO_J2053+0047  J205321.77+004706.80   20:53:21.77   00:47:06.80      5.92  -25.29
  Banados+16      189                      SDSS~J2054--0005  QSO_J2054-0005  J205406.49-000514.80   20:54:06.49  -00:05:14.80    6.0391  -26.21
  Banados+16      190                     CFHQS~J2100--1715  QSO_J2100-1715  J210054.62-171522.50   21:00:54.62  -17:15:22.50    6.0812  -25.55
  Banados+16      191                PSO~J319.6040--10.9326  QSO_J2118-1055  J211824.97-105557.43   21:18:24.97  -10:55:57.43       5.9  -26.72
  Banados+16      192                      SDSS~J2119--0040  QSO_J2119-0040  J211951.89-004020.10   21:19:51.89  -00:40:20.10      5.87  -24.78
  Banados+16      193                PSO~J320.8703--24.3604  QSO_J2123-2421  J212328.88-242137.44   21:23:28.88  -24:21:37.44      5.73  -26.22
  Banados+16      194                 PSO~J323.1382+12.2986  QSO_J2132+1217  J213233.19+121755.26   21:32:33.19  +12:17:55.26    6.5881  -27.12
  Banados+16      195                            J2142-0120  QSO_J2142-0120  J214239.27-012000.30   21:42:39.27   -01:20:00.3      5.61  -26.38
  Banados+16      196                       SDSS~J2147+0107  QSO_J2147+0107  J214755.41+010755.30   21:47:55.41   01:07:55.30      5.81  -25.37
  Banados+16      197                PSO~J328.7339--09.5076  QSO_J2154-0930  J215456.16-093027.46   21:54:56.16  -09:30:27.46      5.92  -26.34
  Banados+16      198                        HSC~J2201+0155  QSO_J2201+0155  J220132.07+015529.00   22:01:32.07    01:55:29.0      6.16  -23.02
  Banados+16      199                        IMS~J2204+0012  QSO_J2204+0111  J220417.92+011144.80   22:04:17.92   01:11:44.80     5.926  -24.04
  Banados+16      200                       VIK~J2211--3206  QSO_J2211-3206  J221112.39-320612.94   22:11:12.39  -32:06:12.94    6.3394  -26.71
  Banados+16      201                 PSO~J333.9859+26.1081  QSO_J2215+2606  J221556.63+260629.41   22:15:56.63   26:06:29.41      6.03  -26.44
  Banados+16      202                       HSC~J2216--0016  QSO_J2216-0016  J221644.47-001650.10   22:16:44.47  -00:16:50.10    6.0962  -23.87
  Banados+16      203                       VIMOS2911001793  QSO_J2219+0102  J221917.22+010248.90   22:19:17.22   01:02:48.90    6.1492  -22.59
  Banados+16      204                      SDSS~J2220--0101  QSO_J2220-0101  J222018.49-010146.89   22:20:18.49  -01:01:46.89      5.62  -25.98
  Banados+16      205     HSC~J2228+0128\,\tablenotemark{g}  QSO_J2228+0128  J222827.83+012809.50   22:28:27.83   01:28:09.50      6.01   -22.7
  Banados+16      206                       SDSS~J2228+0110  QSO_J2228+0110  J222843.54+011032.20   22:28:43.54   01:10:32.20      5.95  -24.54
  Banados+16      207                        HSC~J2228+0152  QSO_J2228+0152  J222847.71+015240.50   22:28:47.71    01:52:40.5      6.08  -24.05
  Banados+16      208                      CFHQS~J2229+1457  QSO_J2229+1457  J222901.65+145709.00   22:29:01.65   14:57:09.00    6.1517  -24.78
  Banados+16      209     HSC~J2232+0012\,\tablenotemark{g}  QSO_J2232+0012  J223212.03+001238.40   22:32:12.03   00:12:38.40      6.18  -22.86
  Banados+16      210                 PSO~J338.2298+29.5089  QSO_J2232+2930  J223255.14+293032.31   22:32:55.14   29:30:32.31     6.658  -26.14
  Banados+16      211     HSC~J2236+0032\,\tablenotemark{f}  QSO_J2236+0032  J223644.58+003256.90   22:36:44.58   00:32:56.90       6.4   -23.8
  Banados+16      212                        HSC~J2239+0207  QSO_J2239+0207  J223947.47+020747.50   22:39:47.47    02:07:47.5      6.26  -24.74
  Banados+16      213                PSO~J340.2041--18.6621  QSO_J2240-1839  J224049.00-183943.81   22:40:49.00  -18:39:43.81      6.01  -26.42
  Banados+16      214                      CFHQS~J2242+0334  QSO_J2242+0334  J224237.55+033421.60   22:42:37.55   03:34:21.60      5.88  -24.51
  Banados+16      215                       VDESJ2250--5015  QSO_J2250-5015  J225002.01-501542.20   22:50:02.01   -50:15:42.2       6.0  -26.85
  Banados+16      216                       SDSS~J2307+0031  QSO_J2307+0031  J230735.35+003149.40   23:07:35.35   00:31:49.40      5.87  -25.27
  Banados+16      217                       SDSS~J2310+1855  QSO_J2310+1855  J231038.89+185519.93   23:10:38.89   18:55:19.93    6.0031   -27.8
  Banados+16      218                      SDSS~J2315--0023  QSO_J2315-0023  J231546.57-002358.10   23:15:46.57  -00:23:58.10      6.12  -25.66
  Banados+16      219                     CFHQS~J2318--0246  QSO_J2318-0246  J231802.80-024634.00   23:18:02.80  -02:46:34.00      6.05   -25.1
  Banados+16      220                       VIK~J2318--3113  QSO_J2318-3113  J231818.35-311346.35   23:18:18.35  -31:13:46.35    6.4435  -26.11
  Banados+16      221                       VIK~J2318--3029  QSO_J2318-3029  J231833.10-302933.37  23:18:33.100  -30:29:33.37    6.1458  -26.21
  Banados+16      222                       SDSS~J2325+2628  QSO_J2325+2628  J232514.24+262847.83   23:25:14.24   26:28:47.83      5.77  -27.27
  Banados+16      223                     CFHQS~J2329--0301  QSO_J2329-0301  J232908.28-030158.80   23:29:08.28  -03:01:58.80    6.4164  -25.25
  Banados+16      224                     CFHQS~J2329--0403  QSO_J2329-0403  J232914.46-040324.10   23:29:14.46  -04:03:24.10       5.9  -24.65
  Banados+16      225                       VIK~J2348--3054  QSO_J2348-3054  J234833.34-305410.24   23:48:33.34  -30:54:10.24    6.9018   -25.8
  Banados+16      226                 PSO~J357.8289+06.4019  QSO_J2351+0624  J235118.96+062406.92   23:51:18.96   06:24:06.92      5.81  -25.28
  Banados+16      227                PSO~J359.1352--06.3831  QSO_J2356-0622  J235632.45-062259.26   23:56:32.45  -06:22:59.26    6.1722  -26.79
  Banados+16      228                       SDSS~J2356+0023  QSO_J2356+0023  J235651.58+002333.30   23:56:51.58   00:23:33.30       6.0  -24.56
Matsuoka+19a        1                   J124353.93+010038.5  QSO_J1243+0100  J124353.93+010038.50   12:43:53.93   +01:00:38.5      7.07  -24.13
Matsuoka+19b        1                   J235646.33+001747.3  QSO_J2356+0017  J235646.33+001747.30   23:56:46.33   +00:17:47.3      7.01  -25.31
Matsuoka+19b        2                   J160953.03+532821.0  QSO_J1609+5328  J160953.03+532821.00   16:09:53.03   +53:28:21.0      6.92  -22.75
Matsuoka+19b        3                   J011257.84+011042.4  QSO_J0112+0110  J011257.84+011042.40   01:12:57.84   +01:10:42.4      6.82  -24.07
Matsuoka+19b        4                   J161207.12+555919.2  QSO_J1612+5559  J161207.12+555919.20   16:12:07.12   +55:59:19.2      6.78  -23.02
Matsuoka+19b        5                   J134400.87+012827.8  QSO_J1344+0128  J134400.87+012827.80   13:44:00.87   +01:28:27.8      6.72  -23.46
Matsuoka+19b        6                   J000142.54+000057.5  QSO_J0001+0000  J000142.54+000057.50   00:01:42.54   +00:00:57.5      6.69  -24.49
Matsuoka+19b        7                   J123137.77+005230.3  QSO_J1231+0052  J123137.77+005230.30   12:31:37.77   +00:52:30.3      6.69  -24.39
Matsuoka+19b        8                   J135012.04-002705.2  QSO_J1350-0027  J135012.04-002705.20   13:50:12.04   -00:27:05.2      6.49  -24.38
Matsuoka+19b        9                   J084456.62+022640.5  QSO_J0844+0226  J084456.62+022640.50   08:44:56.62   +02:26:40.5       6.4  -21.57
Matsuoka+19b       10                   J113753.64+004509.7  QSO_J1137+0045  J113753.64+004509.70   11:37:53.64   +00:45:09.7       6.4   -24.2
Matsuoka+19b       11                   J152555.79+430324.0  QSO_J1525+4303  J152555.79+430324.00   15:25:55.79   +43:03:24.0      6.27  -23.61
Matsuoka+19b       12                   J151248.71+442217.5  QSO_J1512+4422  J151248.71+442217.50   15:12:48.71   +44:22:17.5      6.19  -22.07
Matsuoka+19b       13                   J225520.78+050343.3  QSO_J2255+0503  J225520.78+050343.30   22:55:20.78   +05:03:43.3      6.18  -24.43
Matsuoka+19b       14                   J134733.69-015750.6  QSO_J1347-0157  J134733.69-015750.60   13:47:33.69   -01:57:50.6      6.15  -24.73
Matsuoka+19b       15                   J144823.33+433305.9  QSO_J1448+4333  J144823.33+433305.90   14:48:23.33   +43:33:05.9      6.14  -24.36
Matsuoka+19b       16                   J000133.30+000605.4  QSO_J0001+0006  J000133.30+000605.40   00:01:33.30   +00:06:05.4      6.13  -23.72
Matsuoka+19b       17                   J151657.87+422852.9  QSO_J1516+4228  J151657.87+422852.90   15:16:57.87   +42:28:52.9      6.13  -24.35
Matsuoka+19b       18                   J125437.08-001410.7  QSO_J1254-0014  J125437.08-001410.70   12:54:37.08   -00:14:10.7      6.13  -20.91
Matsuoka+19b       19                   J000445.81-004944.3  QSO_J0004-0049  J000445.81-004944.30   00:04:45.81   -00:49:44.3       6.1   -23.9
Matsuoka+19b       20                   J093543.32-011033.3  QSO_J0935-0110  J093543.32-011033.30   09:35:43.32   -01:10:33.3      6.08  -21.97
Matsuoka+19b       21                   J010603.68-003015.2  QSO_J0106-0030  J010603.68-003015.20   01:06:03.68   -00:30:15.2      6.06  -23.53
Matsuoka+19b       22                   J142611.33-012822.8  QSO_J1426-0128  J142611.33-012822.80   14:26:11.33   -01:28:22.8      6.01  -23.75
Matsuoka+19b       23                   J121049.13+013426.7  QSO_J1210+0134  J121049.13+013426.70   12:10:49.13   +01:34:26.7      5.97   -22.6
Matsuoka+19b       24                   J093000.85+005738.4  QSO_J0930+0057  J093000.85+005738.40   09:30:00.85   +00:57:38.4      5.92  -24.91
Matsuoka+19b       25                   J161819.77+552654.0  QSO_J1618+5526  J161819.77+552654.00   16:18:19.77   +55:26:54.0      5.91  -24.26
Matsuoka+19b       26                   J142307.21-022519.0  QSO_J1423-0225  J142307.21-022519.00   14:23:07.21   -02:25:19.0       5.9  -24.26
Matsuoka+19b       27                   J023858.09-031845.4  QSO_J0238-0318  J023858.09-031845.40   02:38:58.09   -03:18:45.4      5.83  -23.94
Matsuoka+19b       28                   J113218.15+003800.1  QSO_J1132+0038  J113218.15+003800.10   11:32:18.15   +00:38:00.1      5.66  -23.18
     Wang+18        1                            J0038-1527  QSO_J0038-1527  J003836.10-152723.60   00:38:36.10   -15:27:23.6     7.021   -27.1
     Wang+19        1              DELS~J083946.88+390011.5  QSO_J0839+3900  J083946.88+390011.50   08:39:46.88   +39:00:11.5     6.905  -26.29
     Wang+19        2              DELS~J041128.63-090749.8  QSO_J0411-0907  J041128.63-090749.80   04:11:28.63   -09:07:49.8      6.81  -26.61
     Wang+19        3              DELS~J082931.97+411740.4  QSO_J0829+4117  J082931.97+411740.40   08:29:31.97   +41:17:40.4     6.768  -26.36
     Wang+19        4              DELS~J110421.59+213428.8  QSO_J1104+2134  J110421.59+213428.80   11:04:21.59   +21:34:28.8      6.74  -26.67
     Wang+19        5              DELS~J091013.63+165629.8  QSO_J0910+1656  J091013.63+165629.80   09:10:13.63   +16:56:29.8      6.72  -25.57
     Wang+19        6              DELS~J083737.84+492900.4  QSO_J0837+4929  J083737.84+492900.40   08:37:37.84   +49:29:00.4      6.71  -26.42
     Wang+19        7              DELS~J121627.58+451910.7  QSO_J1216+4519  J121627.58+451910.70   12:16:27.58   +45:19:10.7     6.654  -25.58
     Wang+19        8               VHS~J210219.22-145854.0  QSO_J2102-1458  J210219.22-145854.00   21:02:19.22   -14:58:54.0     6.648   -25.5
     Wang+19        9              DELS~J091054.53-041406.8  QSO_J0910-0414  J091054.53-041406.80   09:10:54.53   -04:14:06.8      6.63  -26.36
     Wang+19       10              DELS~J092347.12+040254.4  QSO_J0923+0402  J092347.12+040254.40   09:23:47.12   +04:02:54.4      6.61  -26.61
     Wang+19       11              DELS~J070626.39+292105.5  QSO_J0706+2921  J070626.39+292105.50   07:06:26.39   +29:21:05.5      6.58  -27.51
     Wang+19       12              DELS~J113508.93+501133.0  QSO_J1135+5011  J113508.93+501133.00   11:35:08.93   +50:11:33.0      6.58  -26.19
     Wang+19       13              DELS~J153532.87+194320.1  QSO_J1535+1943  J153532.87+194320.10   15:35:32.87   +19:43:20.1       6.4  -27.01
     Wang+19       14              DELS~J080305.42+313834.2  QSO_J0803+3138  J080305.42+313834.20   08:03:05.42   +31:38:34.2     6.377  -26.51
     Wang+19       15              DELS~J131608.14+102832.8  QSO_J1316+1028  J131608.14+102832.80   13:16:08.14   +10:28:32.8      6.35  -25.73
     Wang+19       16              DELS~J154825.40+005015.5  QSO_J1548+0050  J154825.40+005015.50   15:48:25.40   +00:50:15.5      6.15  -25.62
     Wang+19       17              DELS~J084303.76+291113.4  QSO_J0843+2911  J084303.76+291113.40   08:43:03.76   +29:11:13.4      6.15  -25.79
     Wang+19       18              DELS~J104119.15+200824.0  QSO_J1041+2008  J104119.15+200824.00   10:41:19.15   +20:08:24.0      6.12  -26.08
     Wang+19       19              DELS~J091828.65+194045.0  QSO_J0918+1940  J091828.65+194045.00   09:18:28.65   +19:40:45.0      5.92  -25.91
     Wang+19       20              DELS~J111921.65+011308.6  QSO_J1119+0113  J111921.65+011308.60   11:19:21.65   +01:13:08.6      5.78  -25.57
     Reed+19        1                       VDES_J0244-5008  QSO_J0244-5008  J024401.02-500853.70   02:44:01.02   -50:08:53.7     6.724   -26.2
     Reed+19        2                       VDES_J0020-3653  QSO_J0020-3653  J002031.47-365341.80   00:20:31.47   -36:53:41.8     6.834   -26.2
     Reed+19        3                       VDES_J0246-5219  QSO_J0246-5219  J024655.89-521949.90   02:46:55.89   -52:19:49.9       6.9   -26.2
     Yang+20        1                            J1007+2115  QSO_J1007+2115  J100758.26+211529.20   10:07:58.26  +21:15:29.20    7.5149  -26.66
