# DELS~J020611.20-025537.8    02:06:11.20 -02:55:37.8     6.00        -25.82
# DELS~J162911.29+240739.6    16:29:11.29 +24:07:39.6     6.476       -26.32
# VDES_J0224-4711         02:24:26.54     -47:11:29.4     6.526       -26.98
         Ref  Ref-Num                              Ref-Name        QSO-Name              IAU-Name            RA           Dec  Redshift  M_1450
  Banados+16       43                 PSO~J040.0159+17.5458  QSO_J0240+1732  J024003.82+173244.91   02:40:03.82   17:32:44.91      5.68  -25.81
  Banados+16       44                PSO~J042.6690--02.9174  QSO_J0250-0255  J025040.58-025502.82   02:50:40.58  -02:55:02.82      5.89  -26.59
  Banados+16       45                PSO~J045.1840--22.5408  QSO_J0300-2232  J030044.18-223227.19   03:00:44.18  -22:32:27.19      5.68  -26.26
  Banados+16       46                      SDSS~J0303--0019  QSO_J0303-0019  J030331.40-001912.90   03:03:31.40  -00:19:12.90     6.078  -25.56
  Banados+16       47                       VIK~J0305--3150  QSO_J0305-3150  J030516.92-315055.90   03:05:16.92  -31:50:55.90    6.6145  -26.18
  Banados+16       48                     CFHQS~J0316--1340  QSO_J0316-1340  J031649.87-134032.30   03:16:49.87  -13:40:32.30      5.99  -24.91
  Banados+16       49                PSO~J049.2934--26.5543  QSO_J0317-2633  J031710.42-263315.71   03:17:10.42  -26:33:15.71      5.94  -25.82
  Banados+16       50                       VDESJ0323--4702  QSO_J0323-4701  J032340.34-470120.10   03:23:40.34   -47:01:20.1      6.25  -26.07
  Banados+16       51                       VIK~J0328--3253  QSO_J0328-3253  J032835.51-325322.84   03:28:35.51  -32:53:22.84      5.86  -26.66
  Banados+16       52                       VDESJ0330--4025  QSO_J0330-4025  J033027.92-402516.40   03:30:27.92   -40:25:16.4      6.25  -26.47
  Banados+16       53                PSO~J053.9605--15.7956  QSO_J0335-1547  J033550.53-154744.50   03:35:50.53  -15:47:44.50      5.87  -26.25
  Banados+16       54                PSO~J055.4244--00.8035  QSO_J0341-0048  J034141.86-004812.74   03:41:41.86  -00:48:12.74      5.68  -26.37
  Banados+16       55                PSO~J056.7168--16.4769  QSO_J0346-1628  J034652.04-162836.88   03:46:52.04  -16:28:36.88      5.99  -26.72
  Banados+16       56                       SDSS~J0353+0104  QSO_J0353+0104  J035349.73+010404.66   03:53:49.73   01:04:04.66     6.072  -26.43
  Banados+16       57                 PSO~J060.5529+24.8567  QSO_J0402+2451  J040212.69+245124.43   04:02:12.69   24:51:24.43      6.18  -26.95
  Banados+16       58                       VDESJ0408--5632  QSO_J0408-5632  J040819.23-563228.80   04:08:19.23   -56:32:28.8      6.03  -26.56
  Banados+16       59                       VDESJ0410--4414  QSO_J0410-4414  J041003.23-441440.70   04:10:03.23   -44:14:40.7      6.21  -26.19
  Banados+16       60                       VDESJ0420--4453  QSO_J0420-4453  J042011.34-445323.70   04:20:11.34   -44:53:23.7      6.07   -26.3
  Banados+16       61                PSO~J065.4085--26.9543  QSO_J0421-2657  J042138.05-265715.61   04:21:38.05  -26:57:15.61    6.1877  -27.26
